                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.71134,                0.84764,                0.96025,                0.88034,                0.71429,                0.72993,                0.58933,                0.85334,                 1.4978,                 1.1056,              0.0016766,              0.0016766,              0.0016766
                     52,                0.73392,                0.81044,                0.92015,                0.98945,                0.66667,                0.75171,                0.56846,                0.91182,                 1.3593,                 1.1691,                0.00167,                0.00167,                0.00167
                     53,                0.68603,                0.86878,                0.93289,                0.98945,                0.66667,                0.75171,                0.56846,                0.91182,                 1.3593,                 1.1691,              0.0016634,              0.0016634,              0.0016634
                     54,                0.73599,                0.89519,                0.98131,                0.87457,                0.71429,                0.77698,                0.57317,                0.95705,                 1.2868,                 1.2486,              0.0016568,              0.0016568,              0.0016568
                     55,                0.75193,                0.91999,                 1.0005,                 0.9158,                 0.7619,                0.78376,                0.62397,                0.94591,                 1.2189,                 1.3784,              0.0016502,              0.0016502,              0.0016502
                     56,                0.78191,                0.94853,                 0.9983,                0.98765,                0.61905,                0.75656,                0.59779,                0.95916,                 1.2886,                 1.4196,              0.0016436,              0.0016436,              0.0016436
                     57,                0.78968,                0.88475,                0.99877,                0.98765,                0.61905,                0.75656,                0.59779,                0.95916,                 1.2886,                 1.4196,               0.001637,               0.001637,               0.001637
                     58,                 0.7086,                0.81662,                0.95926,                0.93218,                0.65515,                0.76906,                0.60222,                0.99424,                 1.2589,                 1.2905,              0.0016304,              0.0016304,              0.0016304
                     59,                0.70291,                0.85389,                 0.9277,                0.67601,                0.69603,                0.69576,                0.53497,                0.99563,                  1.322,                 1.2032,              0.0016238,              0.0016238,              0.0016238
                     60,                0.72032,                0.87047,                0.95657,                      1,                0.71017,                 0.7618,                0.58675,                0.95126,                 1.2419,                 1.1777,              0.0016172,              0.0016172,              0.0016172
                     61,                0.68628,                0.83059,                0.92629,                      1,                0.71017,                 0.7618,                0.58675,                0.95126,                 1.2419,                 1.1777,              0.0016106,              0.0016106,              0.0016106
                     62,                0.68655,                0.77783,                0.91814,                0.99041,                0.71429,                0.83778,                0.64768,                0.89954,                 1.0905,                 1.1307,               0.001604,               0.001604,               0.001604
                     63,                0.67298,                0.82527,                0.93146,                0.89245,                 0.7909,                0.88126,                0.71811,                0.89043,                  1.073,                 1.1429,              0.0015974,              0.0015974,              0.0015974
                     64,                0.76108,                0.82071,                0.95987,                      1,                0.71122,                0.82439,                0.65946,                  0.922,                 1.2934,                 1.1444,              0.0015908,              0.0015908,              0.0015908
                     65,                0.75253,                0.84784,                0.97138,                      1,                0.71122,                0.82439,                0.65946,                  0.922,                 1.2934,                 1.1444,              0.0015842,              0.0015842,              0.0015842
                     66,                0.75269,                0.84171,                  1.003,                0.91319,                0.66667,                0.72963,                0.59016,                0.95847,                 1.4661,                 1.1338,              0.0015776,              0.0015776,              0.0015776
                     67,                0.77286,                0.83453,                0.95479,                  0.987,                0.71429,                0.78036,                0.59716,                0.91688,                 1.1482,                  1.078,               0.001571,               0.001571,               0.001571
                     68,                0.75254,                0.79245,                 1.0078,                      1,                   0.76,                0.78142,                0.63829,                0.80059,                0.99201,                 1.0204,              0.0015644,              0.0015644,              0.0015644
                     69,                0.74239,                0.99009,                 1.0261,                      1,                   0.76,                0.78142,                0.63829,                0.80059,                0.99201,                 1.0204,              0.0015578,              0.0015578,              0.0015578
                     70,                0.64643,                0.73133,                0.92732,                 0.9958,                 0.7619,                0.78232,                0.63402,                0.76105,                 1.0248,                 1.0089,              0.0015512,              0.0015512,              0.0015512
                     71,                0.73728,                0.82113,                  0.935,                0.99955,                 0.7619,                 0.7873,                0.62756,                0.73979,                 1.0254,                0.99956,              0.0015446,              0.0015446,              0.0015446
                     72,                0.79594,                 1.0727,                 1.0591,                0.94053,                 0.7619,                 0.7959,                0.64684,                0.79024,                0.97795,                 1.0253,               0.001538,               0.001538,               0.001538
                     73,                0.78362,                   0.86,                0.97412,                0.94053,                 0.7619,                 0.7959,                0.64684,                0.79024,                0.97795,                 1.0253,              0.0015314,              0.0015314,              0.0015314
                     74,                 0.7259,                0.75723,                0.90709,                0.93768,                 0.7619,                 0.7598,                0.62193,                0.87368,                 1.0151,                 1.0979,              0.0015248,              0.0015248,              0.0015248
                     75,                0.66131,                0.81479,                0.96108,                0.93612,                 0.7619,                0.75521,                0.60906,                0.85261,                 1.0638,                 1.1136,              0.0015182,              0.0015182,              0.0015182
                     76,                0.64923,                 0.7357,                0.92501,                0.93462,                 0.7619,                0.76793,                0.64091,                0.82685,                 1.0316,                 1.0975,              0.0015116,              0.0015116,              0.0015116
                     77,                0.75314,                0.89507,                0.96997,                0.93462,                 0.7619,                0.76793,                0.64091,                0.82685,                 1.0316,                 1.0975,               0.001505,               0.001505,               0.001505
                     78,                 0.6392,                0.75945,                0.89685,                0.94078,                 0.7619,                0.76493,                0.62201,                0.80796,                0.96988,                 1.1184,              0.0014984,              0.0014984,              0.0014984
                     79,                0.66561,                0.75202,                0.91175,                0.92677,                 0.7619,                0.77119,                0.63581,                0.80576,                 1.0093,                 1.1642,              0.0014918,              0.0014918,              0.0014918
                     80,                0.75791,                0.84938,                0.91805,                0.94067,                0.75535,                 0.7859,                0.62757,                0.85761,                 1.0152,                 1.1894,              0.0014852,              0.0014852,              0.0014852
                     81,                0.82924,                0.92611,                 1.0601,                0.94067,                0.75535,                 0.7859,                0.62757,                0.85761,                 1.0152,                 1.1894,              0.0014786,              0.0014786,              0.0014786
                     82,                0.62675,                0.64858,                0.88374,                      1,                0.75742,                0.78663,                0.59229,                0.93403,                0.97342,                 1.1605,               0.001472,               0.001472,               0.001472
                     83,                 0.6371,                0.69337,                0.87929,                0.99208,                 0.7619,                0.79088,                0.59629,                0.97247,                 1.0014,                 1.1718,              0.0014654,              0.0014654,              0.0014654
                     84,                0.67514,                0.72182,                0.89475,                0.99166,                 0.7619,                0.80315,                0.63144,                0.90245,                 0.9448,                 1.1818,              0.0014588,              0.0014588,              0.0014588
                     85,                0.58454,                0.62128,                0.86593,                0.99166,                 0.7619,                0.80315,                0.63144,                0.90245,                 0.9448,                 1.1818,              0.0014522,              0.0014522,              0.0014522
                     86,                 0.6404,                0.74925,                0.88769,                0.99147,                 0.7619,                0.80752,                0.64639,                0.85623,                0.88603,                 1.1607,              0.0014456,              0.0014456,              0.0014456
                     87,                  0.655,                0.72833,                 0.9124,                0.99105,                 0.7619,                0.80996,                0.65426,                0.82023,                0.86594,                 1.1319,               0.001439,               0.001439,               0.001439
                     88,                0.63719,                 0.7129,                0.90013,                 0.9884,                 0.7619,                0.82107,                0.64441,                0.84027,                 0.8481,                 1.1556,              0.0014324,              0.0014324,              0.0014324
                     89,                0.74319,                0.76135,                0.97846,                 0.9884,                 0.7619,                0.82107,                0.64441,                0.84027,                 0.8481,                 1.1556,              0.0014258,              0.0014258,              0.0014258
                     90,                0.65963,                 0.6606,                0.90577,                0.93988,                 0.7619,                0.82873,                0.62965,                 0.8895,                0.83378,                 1.1962,              0.0014192,              0.0014192,              0.0014192
                     91,                0.64998,                0.69116,                0.93216,                0.98422,                 0.7619,                0.83852,                0.62364,                 1.0067,                0.87021,                 1.2524,              0.0014126,              0.0014126,              0.0014126
                     92,                0.64658,                0.67163,                0.93464,                0.99653,                 0.7619,                0.84967,                0.64251,                 1.0131,                0.88109,                 1.2341,               0.001406,               0.001406,               0.001406
                     93,                0.63523,                0.71215,                0.96498,                0.99653,                 0.7619,                0.84967,                0.64251,                 1.0131,                0.88109,                 1.2341,              0.0013994,              0.0013994,              0.0013994
                     94,                0.65161,                0.68522,                 0.9605,                0.99613,                 0.7619,                0.85422,                0.68586,                 0.9044,                0.86761,                 1.1753,              0.0013928,              0.0013928,              0.0013928
                     95,                0.61735,                0.64604,                0.88216,                0.99368,                0.80952,                0.86992,                0.71307,                0.88415,                0.82139,                 1.1518,              0.0013862,              0.0013862,              0.0013862
                     96,                0.65725,                0.72125,                0.96855,                      1,                0.85271,                0.89818,                0.73178,                0.86213,                0.77776,                 1.1385,              0.0013796,              0.0013796,              0.0013796
                     97,                0.61205,                0.66079,                0.94061,                      1,                0.85271,                0.89818,                0.73178,                0.86213,                0.77776,                 1.1385,               0.001373,               0.001373,               0.001373
                     98,                0.66436,                0.62368,                0.97748,                0.98444,                0.85714,                0.90761,                0.72796,                0.85313,                0.74439,                 1.1534,              0.0013664,              0.0013664,              0.0013664
                     99,                0.69852,                0.67944,                 1.0016,                0.93758,                0.85714,                0.90537,                0.71709,                0.88683,                0.74232,                 1.1824,              0.0013598,              0.0013598,              0.0013598
                    100,                0.69323,                0.73872,                 1.0091,                0.94514,                0.85714,                0.90187,                0.70692,                0.85347,                0.73549,                 1.1746,              0.0013532,              0.0013532,              0.0013532
                    101,                   0.67,                0.59153,                0.89366,                0.94514,                0.85714,                0.90187,                0.70692,                0.85347,                0.73549,                 1.1746,              0.0013466,              0.0013466,              0.0013466
                    102,                0.58898,                0.62985,                0.91411,                0.94703,                0.85161,                0.89976,                0.69949,                0.88429,                0.73534,                 1.1685,                0.00134,                0.00134,                0.00134
                    103,                0.58315,                0.62616,                0.91683,                 0.9887,                0.80952,                0.88902,                0.69702,                0.84704,                0.76662,                 1.1218,              0.0013334,              0.0013334,              0.0013334
                    104,                0.57889,                0.61005,                0.91186,                0.98765,                0.80952,                0.85701,                0.68536,                0.79156,                0.79252,                 1.0807,              0.0013268,              0.0013268,              0.0013268
                    105,                0.54035,                0.56658,                0.90928,                0.98765,                0.80952,                0.85701,                0.68536,                0.79156,                0.79252,                 1.0807,              0.0013202,              0.0013202,              0.0013202
                    106,                0.61698,                0.61545,                0.93257,                      1,                 0.8037,                0.87271,                0.70118,                0.77125,                0.80844,                 1.0421,              0.0013136,              0.0013136,              0.0013136
                    107,                0.53623,                0.59391,                0.91707,                0.94586,                 0.8325,                0.87493,                0.74549,                0.72952,                0.80949,                 1.0271,               0.001307,               0.001307,               0.001307
                    108,                0.59117,                0.58821,                0.88851,                 0.8886,                0.85714,                0.86391,                0.74546,                0.69469,                 0.7802,                 1.0261,              0.0013004,              0.0013004,              0.0013004
                    109,                0.68354,                0.64677,                0.94284,                 0.8886,                0.85714,                0.86391,                0.74546,                0.69469,                 0.7802,                 1.0261,              0.0012938,              0.0012938,              0.0012938
                    110,                0.59441,                0.57472,                0.85147,                      1,                  0.845,                0.86443,                0.76038,                0.68583,                0.79815,                 1.0261,              0.0012872,              0.0012872,              0.0012872
                    111,                0.64151,                0.57394,                0.89244,                0.94694,                0.85714,                0.87105,                0.76047,                0.65894,                0.75391,                0.99646,              0.0012806,              0.0012806,              0.0012806
                    112,                0.59827,                0.58183,                0.92574,                0.99358,                0.85714,                0.88752,                0.75184,                0.67014,                0.76873,                0.98673,               0.001274,               0.001274,               0.001274
                    113,                0.61443,                0.57284,                 0.8848,                0.99358,                0.85714,                0.88752,                0.75184,                0.67014,                0.76873,                0.98673,              0.0012674,              0.0012674,              0.0012674
                    114,                0.58367,                0.60748,                0.91434,                      1,                0.85466,                0.88692,                 0.7508,                 0.7118,                0.77255,                 1.0207,              0.0012608,              0.0012608,              0.0012608
                    115,                0.62441,                0.58353,                0.90979,                      1,                0.85398,                0.90553,                0.77111,                0.71038,                0.76074,                 1.0088,              0.0012542,              0.0012542,              0.0012542
                    116,                0.65095,                0.66705,                0.96359,                0.99491,                0.80952,                 0.8973,                0.74158,                0.70014,                0.70965,                 1.0059,              0.0012476,              0.0012476,              0.0012476
                    117,                0.55643,                0.56676,                0.85794,                0.99491,                0.80952,                 0.8973,                0.74158,                0.70014,                0.70965,                 1.0059,               0.001241,               0.001241,               0.001241
                    118,                0.56623,                0.57264,                0.88304,                0.99955,                0.80952,                0.89247,                0.75012,                0.68147,                0.70581,                 1.0111,              0.0012344,              0.0012344,              0.0012344
